,Runoff_mmd,pcp_era5,sf_era5,smlt_era5,pev_era5,t2m_era5,asn_era5,snowc_era5,sde_era5,sd_era5,swvl1_era5
1950/1/27,,0.189672008,0.183246344,0,-1.137744858,248.3779483,0.857586874,94.18489838,1.316878601,0.202177868,0.205532879
1950/1/28,,0.011082275,0.008978412,0,-0.607287877,242.8631709,0.849812662,94.18489838,1.29612825,0.202138819,0.205045402
1950/1/29,,3.541429043,3.53589797,0,-0.281458599,249.6501727,0.844976521,94.18489838,1.294669581,0.203013021,0.204678178
1950/1/30,,4.769670486,4.764677048,0,-2.43465799,257.6359618,0.855647883,94.18489838,1.337082068,0.209323549,0.205211669
1950/1/31,,0.032736678,0.030791853,0,-1.172113953,245.2490061,0.850540843,94.18489838,1.314732873,0.210189829,0.204863608
1950/2/1,,0.035896089,0.034897253,0,-0.465828162,246.8661314,0.842614309,94.18489838,1.296234518,0.210161503,0.204339907
1950/2/2,,0.03779912,0.031838547,0,-0.730046485,249.8677696,0.834773261,94.18489838,1.275941106,0.210195548,0.204126194
1950/2/3,,2.371716738,2.36689949,0,-0.300069923,251.0396333,0.831637581,94.18489838,1.272127392,0.211152582,0.203774124
1950/2/4,,0.240635663,0.236585394,0,-0.599200617,249.0060785,0.83072566,94.18489838,1.276950111,0.212579738,0.203293979
1950/2/5,,0.207932532,0.202566043,0,-0.710367078,243.0139788,0.824330769,94.18489838,1.262309708,0.212805005,0.202834904
1950/2/6,,0.020112921,0.015750583,0,-0.365399113,238.0077326,0.816704937,94.18489838,1.251850495,0.212790222,0.202390462
1950/2/7,,0.0050974,0.002694141,0,-0.195992809,236.3620235,0.808750406,94.18489838,1.243736109,0.212770614,0.201988801
1950/2/8,,0.049126912,0.04486312,0,-0.293786286,238.8470627,0.800846464,94.18489838,1.236524861,0.212779465,0.201651737
1950/2/9,,0.401601344,0.397723049,0,-0.530625825,244.0919664,0.795289867,94.18489838,1.232778755,0.213074796,0.201302335
1950/2/10,,0.467315137,0.463487089,0,-0.636220649,246.8660801,0.791002487,94.18489838,1.227941113,0.213478091,0.200943932
1950/2/11,,0.000845532,0.000138602,0,-1.168030742,249.5080066,0.78453663,94.18489838,1.215769505,0.21362771,0.200679213
1950/2/12,,1.543804288,1.538520098,0,-0.909208698,256.0881592,0.780687394,94.18489838,1.202271768,0.214040472,0.200390577
1950/2/13,,0.576973319,0.575475156,0,-1.708709486,252.9628981,0.788275889,94.18489838,1.205968956,0.215567227,0.200065106
1950/2/14,,0.000715256,6.92E-06,0,-2.70029275,253.1202751,0.780846797,94.18489838,1.18486885,0.215448415,0.199740335
1950/2/15,,0.000715256,0,0,-2.33634026,256.4984112,0.772847071,94.18489838,1.16182763,0.215270414,0.199423283
1950/2/16,,0.000715256,0,0,-1.994045366,255.2588868,0.764847029,94.18489838,1.138311657,0.21515354,0.199175552
1950/2/17,,0.000715256,0,0,-1.988923071,256.6278514,0.756846839,94.18489838,1.116733528,0.21506763,0.198902354
1950/2/18,,0.001521203,0.000646358,0,-2.107827274,257.5948909,0.748846924,94.18489838,1.095237049,0.214957317,0.198692203
1950/2/19,,2.683468103,2.678035975,0,-1.880389409,261.1194791,0.755391955,94.18489838,1.08430086,0.216002521,0.198459581
1950/2/20,,8.315214157,8.311841965,0,-1.236754605,253.9184273,0.795840451,94.18489838,1.139409552,0.220499083,0.198177651
1950/2/21,,6.433152676,6.427719593,0,-0.967458804,250.8712903,0.840128204,94.18489838,1.286965057,0.228924382,0.197882637
1950/2/22,,1.146648288,1.144212246,0,-1.941789345,247.7334862,0.846289519,94.18489838,1.341938763,0.232641993,0.197595268
1950/2/23,,0.002536491,0.000151068,0,-1.380053813,246.6606604,0.838784614,94.18489838,1.325755835,0.232657977,0.197314128
1950/2/24,,1.475087404,1.470413089,0,-1.255594452,249.9925166,0.833518668,94.18489838,1.31756048,0.233154002,0.197042391
1950/2/25,,0.120942786,0.116717368,0,-1.911987772,251.4984932,0.82962759,94.18489838,1.31375152,0.233978189,0.196787268
1950/2/26,,2.838458776,2.832145929,0,-1.441464308,254.4053939,0.831173609,94.18489838,1.323414712,0.235798009,0.19653672
1950/2/27,,0.437946767,0.434063464,0,-1.3484135,254.1185845,0.828834311,94.18489838,1.315993333,0.236848885,0.196291089
1950/2/28,,0.215283319,0.210782245,0,-1.203198883,252.5353651,0.822959871,94.18489838,1.294719156,0.237130879,0.196059451
1950/3/1,,0.628176928,0.62447238,0,-0.962856448,251.2671429,0.815964954,94.18489838,1.274583647,0.237203209,0.195848405
1950/3/2,,8.838502884,8.834265709,0,-1.179231226,259.3801152,0.837064676,94.18489838,1.327846441,0.242913669,0.195801362
1950/3/3,,4.254275799,4.249766827,0,-1.351186539,259.8551596,0.848936054,94.18489838,1.356122259,0.247980927,0.195704862
1950/3/4,,0.159349382,0.154774293,0,-2.005155018,256.6819633,0.849823059,94.18489838,1.348263663,0.250806408,0.195504323
1950/3/5,,2.282335281,2.279901266,0,-2.51736101,256.025708,0.842753067,94.18489838,1.317623069,0.250873319,0.195321947
1950/3/6,,4.105494022,4.098053455,0,-2.157809107,260.1742154,0.847849546,94.18489838,1.323306375,0.254480817,0.195309222
1950/3/7,,1.432609797,1.430260897,0,-4.115026734,255.9690785,0.85096582,94.18489838,1.329129076,0.257922465,0.195150644
1950/3/8,,0.063290328,0.061894696,0,-3.11225281,258.3378508,0.843450547,94.18489838,1.302222843,0.257810567,0.194889218
1950/3/9,,2.701080084,2.34828043,0,-3.09802282,268.8812322,0.83679864,94.18489838,1.267301054,0.258264696,0.194983765
1950/3/10,,9.72332859,9.351966858,0,-5.867436361,271.2989442,0.835074433,94.18489838,1.250285418,0.267327365,0.195203573
1950/3/11,,1.945668697,1.941691637,0,-3.372784377,254.4413967,0.817896426,94.18489838,1.232471201,0.270374919,0.19497849
1950/3/12,,0.091368675,0.090486355,0,-2.678780676,250.870518,0.815798287,94.18489838,1.232553059,0.27096912,0.194673374
1950/3/13,,0.89745158,0.892026365,0,-2.453328418,250.7815982,0.811888828,94.18489838,1.230907753,0.271352365,0.194382459
1950/3/14,,0.171233878,0.168377534,0,-1.820863266,250.7255457,0.806409788,94.18489838,1.225823191,0.271561615,0.194111824
1950/3/15,,2.629471779,2.626093626,0,-2.032860642,252.9340828,0.810603885,94.18489838,1.245274734,0.273113156,0.193856508
1950/3/16,,0.108216569,0.106000602,0,-1.870874391,255.0046263,0.81032229,94.18489838,1.252642784,0.274138192,0.193702891
1950/3/17,,3.81291461,3.810305834,0,-0.774519135,260.0368366,0.809365199,94.18489838,1.248124176,0.275119129,0.193576783
1950/3/18,,1.863435626,1.859702826,0,-3.06001187,268.0124722,0.826432624,94.18489838,1.264488151,0.279203283,0.194741085
1950/3/19,,0.327079058,0.319876134,0,-4.609369238,262.6836192,0.823416113,94.18489838,1.231368589,0.279757791,0.194772273
1950/3/20,,0.519026518,0.511253715,0,-4.172082809,258.5417734,0.8173377,94.18489838,1.208149188,0.279551933,0.194456115
1950/3/21,,0.029797925,0.027000848,0,-4.017954149,258.1489197,0.811570245,94.18489838,1.193782635,0.279569533,0.194178566
1950/3/22,,0.000581145,0.000129942,0,-6.206779533,262.0998655,0.803602345,94.18489838,1.175868717,0.279288373,0.193895802
1950/3/23,,0.000581145,0,0,-7.569662857,266.1713544,0.795602458,94.18489838,1.154679493,0.278967714,0.193619326
1950/3/24,,0.289749891,0.275780439,0,-7.530315526,269.4248829,0.787711216,94.18489838,1.128785079,0.278600264,0.193388805
1950/3/25,,1.501445293,1.496605992,0,-5.457492419,269.6575894,0.790834908,94.18489838,1.108324523,0.279354165,0.193142056
1950/3/26,,0.547969759,0.544138849,0,-6.420182601,264.7949754,0.790910174,94.18489838,1.088875622,0.279568793,0.19287774
1950/3/27,,0.139500424,0.136274263,0,-4.613725713,261.162421,0.785527057,94.18489838,1.073892592,0.279202122,0.192617416
1950/3/28,,3.946693897,3.945327282,0,-3.154298129,261.639236,0.782845526,94.18489838,1.065536581,0.279442532,0.192374647
1950/3/29,,0.686294198,0.594688058,0,-4.745916871,270.2705374,0.807395367,94.18489838,1.083864283,0.283204965,0.192152828
1950/3/30,,11.78316021,11.71931076,0,-4.121344482,266.4849709,0.798685654,94.18489838,1.077599258,0.285297315,0.192037582
1950/3/31,,4.440859318,4.437551022,1.86E-06,-6.309463178,262.3950735,0.855571971,94.18489838,1.18546322,0.29800382,0.191803545
1950/4/1,,0.247997165,0.245607778,1.86E-06,-5.157367671,264.0818424,0.849332146,94.18489838,1.174649471,0.298381866,0.191602543
1950/4/2,,0.099825397,0.097694598,1.86E-06,-6.367299454,266.2973916,0.842289319,94.18489838,1.157680908,0.298495095,0.191416919
1950/4/3,,0.786417782,0.779832006,1.86E-06,-5.774196247,269.7427175,0.83595045,94.18489838,1.138129995,0.298570932,0.191213831
1950/4/4,,0.042339657,0.034938898,1.86E-06,-7.26439169,270.4363726,0.829305137,94.18489838,1.117285196,0.298642229,0.19108586
1950/4/5,,8.05687809,8.052703857,1.86E-06,-2.140660664,269.5246518,0.825257945,94.18489838,1.108830213,0.300545221,0.190988049
1950/4/6,,0.68081075,0.674411178,1.86E-06,-7.199161041,268.2692508,0.845943358,94.18489838,1.13090113,0.306452658,0.190790489
1950/4/7,,0.041678492,0.041729994,1.86E-06,-5.2696214,257.1523907,0.838956504,94.18489838,1.114700007,0.305797568,0.190568745
1950/4/8,,0.00722405,0.006268248,1.86E-06,-4.255462639,256.9479352,0.830981961,94.18489838,1.105406705,0.305436354,0.190358683
1950/4/9,,0.069383033,0.067032024,1.86E-06,-4.672354791,256.5923212,0.823165686,94.18489838,1.097478406,0.305126052,0.190152302
1950/4/10,,0.926672399,0.92060411,1.86E-06,-5.438648007,260.7268959,0.818932018,94.18489838,1.098341177,0.305442918,0.189955369
1950/4/11,,1.165117621,1.161616445,1.86E-06,-3.872590874,264.2074552,0.815639258,94.18489838,1.097154439,0.305994467,0.189779103
1950/4/12,,0.401461154,0.398492962,1.86E-06,-3.617644726,268.9978375,0.812879126,94.18489838,1.092173773,0.30678786,0.190116495
1950/4/13,,0.98345989,0.977783859,1.86E-06,-5.572030943,270.2050599,0.809856643,94.18489838,1.082066019,0.307381297,0.190209076
1950/4/14,,0.189841777,0.186618477,1.86E-06,-6.727401156,267.0440294,0.801252822,94.18489838,1.069044823,0.307370307,0.190044954
1950/4/15,,0.000268221,-1.86E-06,1.86E-06,-8.845721552,265.7686956,0.793621531,94.18489838,1.055377969,0.306776574,0.189842612
1950/4/16,,0.000268221,-1.86E-06,1.86E-06,-9.797160275,267.6112199,0.785621507,94.18489838,1.043070513,0.306175175,0.189651266
1950/4/17,,0.002580341,0.001965457,1.86E-06,-10.28325178,271.4908086,0.776653099,94.18489838,1.029909146,0.305659295,0.189455837
1950/4/18,,0.081929408,0.078486048,1.86E-06,-7.266422864,271.2872985,0.75005175,94.18489838,1.012222374,0.305242651,0.189297214
1950/4/19,,0.185418546,0.183693275,1.86E-06,-7.631418561,271.677025,0.725322627,94.18489838,0.995050452,0.304810762,0.189118415
1950/4/20,,0.001877751,-1.86E-06,0.000194807,-14.38754205,274.4920002,0.69401704,94.18489838,0.97370229,0.304276028,0.189055517
1950/4/21,,0.717815459,0.006182943,0.835413814,-8.610567649,274.5311825,0.658398902,94.18489838,0.944645769,0.303304234,0.191874474
1950/4/22,,4.48631382,0.457123488,8.547402382,-3.69767598,275.4283544,0.629205709,94.18489838,0.916069449,0.299616476,0.256917477
1950/4/23,,15.18017578,13.82246685,2.865450382,-3.634010768,274.2053033,0.741670796,94.18489838,0.941169638,0.30174812,0.296045184
1950/4/24,,1.292213917,0.873264253,2.35717392,-4.288972339,274.0706395,0.761253959,94.18489838,0.963230013,0.305398598,0.284940273
1950/4/25,,0.360140979,0.352109462,1.140289664,-5.80336504,273.7565701,0.716759895,94.18489838,0.946151275,0.303641443,0.278799355
1950/4/26,,0.154279992,0.117904805,8.433802605,-6.109444299,275.4896361,0.677976786,94.18489838,0.924286175,0.300369959,0.290959686
1950/4/27,,0.135371253,0.019292191,9.008718491,-4.054130989,275.3139731,0.644848562,94.18489838,0.886925171,0.291490843,0.31688273
1950/4/28,,0.3993707,0.146219,10.84556389,-8.168950028,276.1779298,0.620722746,94.18489838,0.851065316,0.28216595,0.326744795
1950/4/29,,10.35493946,6.157887459,4.509539127,-2.672335573,274.5917048,0.654655461,94.18489838,0.83001908,0.275100743,0.333102494
1950/4/30,,6.560910225,6.204566479,1.304876208,-5.086152302,273.7632518,0.740947449,94.18489838,0.860815757,0.279161099,0.312952101
1950/5/1,,0.809069514,0.248809531,2.8842628,-8.457382331,274.3772835,0.725892563,94.18489838,0.86081271,0.279841112,0.303790063
1950/5/2,,4.408847332,2.633267164,0.309133708,-5.372084157,273.2471154,0.698401247,94.18489838,0.846084157,0.278389402,0.295595974
1950/5/3,,3.528343916,3.014496088,2.951135397,-5.713106499,273.7869696,0.722431629,94.18489838,0.854411881,0.281826406,0.296487808
1950/5/4,,1.147828102,1.077103615,0,-10.24805564,270.3809217,0.697861018,94.18489838,0.844926166,0.280016942,0.288341641
1950/5/5,,1.231925845,0.865926683,0,-9.43796029,270.299684,0.698323667,94.18489838,0.842758824,0.28023519,0.275218815
1950/5/6,,8.660838127,6.506608486,0,-3.951712535,271.8766516,0.719788032,94.18489838,0.849002133,0.282461629,0.267938584
1950/5/7,,4.921370506,0.817303836,4.547622204,-5.700748289,275.2673656,0.74375479,94.18489838,0.863928805,0.28982778,0.282159775
1950/5/8,,10.24396324,9.248687744,0,-8.397940058,272.1520745,0.755592345,94.18489838,0.871637603,0.291366935,0.289473057
1950/5/9,,4.027712822,3.626041889,0.283346862,-11.24107654,274.1599185,0.778684135,94.18489838,0.904728871,0.299109524,0.274961174
1950/5/10,,1.061497808,0.352538466,1.155279279,-8.881733006,274.1436158,0.733800239,94.18489838,0.892748763,0.299627143,0.271733195
1950/5/11,,2.994632483,2.337123394,5.119200706,-7.122830959,274.8040636,0.717187283,94.18489838,0.881005457,0.299096316,0.288490474
1950/5/12,,0.765206277,0.758758247,0,-13.0316936,269.717365,0.691726749,94.18489838,0.866779133,0.295489503,0.288016468
1950/5/13,,0.738903105,0.542499423,0,-10.61411352,269.9645832,0.685375399,94.18489838,0.861726558,0.294782394,0.273407906
1950/5/14,,13.72495174,13.52051163,0,-5.465345151,272.7104428,0.782286464,94.18489838,0.923247559,0.30432251,0.266299456
1950/5/15,,0.181115523,0.17661801,2.774170637,-8.274392981,274.901896,0.763763982,94.18489838,0.935591104,0.30800607,0.266356826
1950/5/16,,0.596067488,0.042319585,10.94954681,-7.664170696,276.6254561,0.713442555,94.18489838,0.897941354,0.302416258,0.302890569
1950/5/17,,4.592087746,0.565912306,6.032725811,-2.946813461,274.8001909,0.677759072,94.18489838,0.863021687,0.29305048,0.324396044
1950/5/18,,0.381964803,0.346882105,0.54711926,-7.698133326,273.4343349,0.654531387,94.18489838,0.844848138,0.289036281,0.308627874
1950/5/19,,0.0092023,0.00832471,1.280128956,-11.90624272,273.6396593,0.627409597,94.18489838,0.828429013,0.287602969,0.291712493
